Compound Name,Reference,PP11_LysCAT_Embryo_aass_HOMO_body_1,PP11_LysCAT_Embryo_aass_HOMO_body_2,PP11_LysCAT_Embryo_aass_HOMO_body_3,PP11_LysCAT_Embryo_aass_HOMO_body_4,PP11_LysCAT_Embryo_aass_HOMO_head_1,PP11_LysCAT_Embryo_aass_HOMO_head_2,PP11_LysCAT_Embryo_aass_HOMO_head_3,PP11_LysCAT_Embryo_aass_HOMO_head_4,PP11_LysCAT_Embryo_aass_WT_body_1,PP11_LysCAT_Embryo_aass_WT_body_2,PP11_LysCAT_Embryo_aass_WT_body_3,PP11_LysCAT_Embryo_aass_WT_body_4,PP11_LysCAT_Embryo_aass_WT_head_1,PP11_LysCAT_Embryo_aass_WT_head_2,PP11_LysCAT_Embryo_aass_WT_head_3,PP11_LysCAT_Embryo_aass_WT_head_4,PP11_LysCAT_Embryo_aldh7a1_HOMO_body_1,PP11_LysCAT_Embryo_aldh7a1_HOMO_body_2,PP11_LysCAT_Embryo_aldh7a1_HOMO_body_3,PP11_LysCAT_Embryo_aldh7a1_HOMO_body_4,PP11_LysCAT_Embryo_aldh7a1_HOMO_head_1,PP11_LysCAT_Embryo_aldh7a1_HOMO_head_2,PP11_LysCAT_Embryo_aldh7a1_HOMO_head_3,PP11_LysCAT_Embryo_aldh7a1_HOMO_head_4,PP11_LysCAT_Embryo_aldh7a1_WT_body_1,PP11_LysCAT_Embryo_aldh7a1_WT_body_2,PP11_LysCAT_Embryo_aldh7a1_WT_body_3,PP11_LysCAT_Embryo_aldh7a1_WT_body_4,PP11_LysCAT_Embryo_aldh7a1_WT_head_1,PP11_LysCAT_Embryo_aldh7a1_WT_head_2,PP11_LysCAT_Embryo_aldh7a1_WT_head_3,PP11_LysCAT_Embryo_aldh7a1_WT_head_4,PP11_LysCAT_Embryo_EB_1,PP11_LysCAT_Embryo_EB_2,PP11_LysCAT_Embryo_EB_3,PP11_LysCAT_STDmix_025nM_1,PP11_LysCAT_STDmix_1nM_1,PP11_LysCAT_STDmix_10nM_1,PP11_LysCAT_STDmix_50nM_1,PP11_LysCAT_STDmix_125nM_1,PP11_LysCAT_STDmix_250nM_1,PP11_LysCAT_STDmix_500nM_1,PP11_LysCAT_STDmix_1uM_1,PP11_LysCAT_STDmix_2uM_1
4-aminobutyrate_Fmoc,IS-TFL_Fmoc,1731958,1797094,1483342,1933326,29084941,38918131,56652496,59766139,1672263,1808644,1736504,1748451,44149105,29000730,27241607,37650726,2860208,3739550,4559317,4212910,46078065,54364119,56800387,61986542,1071839,1772902,2209155,1869513,30119992,37433426,43013538,34456717,,,,,,,,,,,,
5-Aminopentanoate_Fmoc ,IS-TFL_Fmoc,313841,326990,409672,850411,223596,157329,260497,420669,502328,458742,595632,378824,324203,134657,188915,357060,337808,644084,456273,1436447,177375,213729,212763,564480,136740,251852,377594,436592,183942,160106,204348,192668,,,,,,,,,,,,
AAA-Fmoc,IS-AAA-d3-Fmoc,117635,99969,70378,167357,119715,107785,114318,101880,103179,102158,126555,101319,159730,96130,113788,163548,647379,566648,602690,467584,560533,579283,456497,499382,58570,82451,99090,89987,85850,86836,106246,84237,,,,,,32630,135520,403723,786975,1691358,3115907,6116263
Ala_Fmoc,IS-TFL_Fmoc,2147141,1714947,1375335,3086573,1187944,935836,1259111,1588492,1969198,1770331,1787998,2094579,1098548,705022,662443,903658,2256934,2729828,2243220,3027818,1029805,1323271,1078257,1409938,679588,1059351,1427195,1306916,835169,663080,701358,648886,49394,28825,38916,60430,33124,22038,34285,37294,49260,38447,48910,40648
Arg_1Fmoc,IS-TFL_Fmoc,19804986,22348218,20621182,18329433,28729627,38224123,41597367,39431048,9594556,8521835,8061397,7925668,27706114,20980579,24130955,18979270,5648056,12519302,7034352,12645269,18760296,12750384,16655723,17605914,2741479,5950401,7681046,7893043,18813694,18125801,14659484,16799823,199291,92293,91495,324470,121053,199292,197294,165492,225792,187008,233319,454390
Asn_1Fmoc,IS-TFL_Fmoc,3571085,2787165,2493044,3726145,1485008,1465524,1792974,2228497,3809940,3321662,2859377,3876457,2088412,1326100,1431508,1692416,4309747,3895710,4351294,4247183,1505541,1879774,1559675,1994470,1547953,2853097,2849421,2305875,1233442,1217980,1339381,991516,,,,,,,,,,,,
Asp_Fmoc,IS-TFL_Fmoc,1877014,1883389,1373169,1981326,2453172,4773721,7990761,5522334,1033603,1316149,1192239,1781988,4069824,1825319,2434762,3508062,2392215,2215875,1575153,1382167,3577374,4591648,5153849,5260744,547111,1010896,1130803,851111,2086869,2482054,2803845,2248207,,,,,,,,,,,,
Cys_Fmoc,IS-TFL_Fmoc,23271,24069,24257,35295,37091,41761,63803,71940,20767,19838,23251,22608,55781,29747,26793,41447,27824,41020,39136,51401,37471,43530,47854,67390,8843,21584,26794,26889,27267,31302,46091,34733,,,,,,,,,,,,
Gln_Fmoc,IS-TFL_Fmoc,25698174,16160479,16076337,25336293,37984922,48055852,48556260,67886720,33881885,31127149,24127570,35551133,79130806,52053446,57721668,54839553,30240755,15806281,22752728,18767001,55680107,59712985,35025155,37477827,16861588,25450449,23325807,20177402,51744406,55644937,57794488,34331068,,,,,,,,,,,,
Glu_Fmoc,IS-TFL_Fmoc,7686870,6656931,5624163,10438871,22010675,23045535,31665852,33417949,6637129,6661887,7497939,7406221,24420290,15983490,14808085,25643136,10421901,10945756,11189856,16059163,23261584,28615520,27907092,38542407,2806437,6407057,7036663,6080334,12868706,15176818,20108575,15687407,,,,36279,27077,31146,28197,38569,40966,31410,40286,40452
